Merge,Conflicts,Javas,AST
e8174c12c846a42561df0f8b6e9b713f5d1739dd,1,1,"[['packages/SystemUI/src/com/android/systemui/statusbar/SignalClusterView.java', [[564, 571, 8, 24]], [[548, 554, 7, 15]]]]"
1806b30b6bd01c36b0daee5067ee9a7fcca34b06,1,1,"[['services/core/java/com/android/server/connectivity/Nat464Xlat.java', [[97, 105, 9, 30]], [[91, 92, 2, 9]]]]"
503de6ae1150ca1ad8db2310afe2f9914af10bde,1,1,"[['services/core/java/com/android/server/connectivity/Tethering.java', [[1228, 1229, 2, 5]], [[1224, 1225, 2, 6]]]]"
536f3c3d169e3b000ecda3f6a8b3fe34d4d43081,1,1,"[['services/core/java/com/android/server/am/ActivityManagerService.java', [[23906, 23921, 16, 27], [24358, 24390, 33, 44]], [[23780, 23780, 1, 4], [0, 0, 0, 0]]]]"
fd92173d2690dc7af718fa58fdea9584cd224257,1,1,"[['services/core/java/com/android/server/Watchdog.java', [[112, 112, 1, 0]], [[115, 115, 1, 0]]]]"
a858b99a88d045ffcbc8f0af026b8eb1b04f26b0,7,3,"[['services/core/java/com/android/server/pm/PackageManagerService.java', [[2753, 2769, 17, 32]], [[2746, 2748, 3, 2]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelView.java', [[208, 209, 2, 2]], [[205, 205, 1, 4]]], ['services/core/java/com/android/server/am/ActivityStackSupervisor.java', [[171, 173, 3, 0]], [[0, 0, 0, 0]]]]"
9c7fa13459a4bf9b21cf2b51663aa035e0668214,29,22,"[['services/core/java/com/android/server/location/GnssLocationProvider.java', [[0, 0, 0, 0]], [[791, 791, 1, 2]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/KeyguardBottomAreaView.java', [[233, 233, 1, 5]], [[233, 233, 1, 5]]], ['telephony/java/android/telephony/DisconnectCause.java', [[462, 559, 98, 98]], [[393, 394, 2, 2]]], ['services/core/java/com/android/server/AppOpsService.java', [[85, 85, 1, 0]], [[70, 85, 16, 0]]], ['telecomm/java/android/telecom/PhoneAccount.java', [[75, 82, 8, 0]], [[84, 138, 55, 0]]], ['telephony/java/android/telephony/ims/ImsServiceProxy.java', [[0, 0, 0, 0]], [[132, 133, 2, 1]]], ['services/core/java/com/android/server/am/ActivityStackSupervisor.java', [[0, 0, 0, 0]], [[43, 43, 1, 0]]], ['telephony/java/android/telephony/CarrierConfigManager.java', [[1537, 1537, 1, 0]], [[1603, 1605, 3, 0]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java', [[134, 134, 1, 0], [1698, 1726, 29, 83]], [[134, 134, 1, 0], [1707, 1722, 16, 0]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardSimPukView.java', [[121, 123, 3, 3]], [[121, 143, 23, 83]]], ['services/java/com/android/server/SystemServer.java', [[58, 59, 2, 0]], [[0, 0, 0, 0]]], ['telephony/java/com/android/internal/telephony/RILConstants.java', [[420, 420, 1, 0]], [[417, 419, 3, 0]]], ['services/core/java/com/android/server/wm/AppWindowContainerController.java', [[650, 650, 1, 3]], [[650, 666, 17, 16]]], ['telephony/java/android/telephony/SmsMessage.java', [[494, 512, 19, 16], [836, 846, 11, 14]], [[469, 486, 18, 16], [0, 0, 0, 0]]], ['packages/SettingsProvider/src/com/android/providers/settings/DatabaseHelper.java', [[2646, 2647, 2, 2]], [[2620, 2620, 1, 0]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardSimPinView.java', [[87, 91, 5, 18]], [[81, 102, 22, 78]]], ['telephony/java/com/android/internal/telephony/gsm/SmsCbConstants.java', [[33, 52, 20, 0]], [[0, 0, 0, 0]]], ['services/core/java/com/android/server/am/ActivityManagerService.java', [[614, 616, 3, 0]], [[608, 608, 1, 0]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java', [[971, 972, 2, 0], [985, 987, 3, 14]], [[961, 961, 1, 0], [974, 974, 1, 7]]], ['media/java/android/media/AudioFormat.java', [[270, 293, 24, 0]], [[270, 305, 36, 37]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', [[263, 266, 4, 9]], [[249, 253, 5, 11]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/SignalDrawable.java', [[88, 89, 2, 0], [0, 0, 0, 0], [262, 267, 6, 30]], [[87, 108, 22, 0], [313, 320, 8, 18], [327, 330, 4, 32]]]]"
467f41853b8179ce28f9b2c0e7218ae17c58e209,1,1,"[['packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', [[282, 291, 10, 23]], [[257, 261, 5, 6]]]]"
c2930056ad95928cc2abd5d613abaff446ccc460,3,1,"[['packages/SystemUI/src/com/android/systemui/statusbar/SignalClusterView.java', [[126, 127, 2, 0], [309, 311, 3, 23], [317, 320, 4, 16]], [[0, 0, 0, 0], [302, 303, 2, 17], [309, 312, 4, 16]]]]"
0457434c537b654076b056857db84571e2260047,4,3,"[['services/core/java/com/android/server/pm/PackageManagerService.java', [[15761, 15767, 7, 21]], [[15818, 15822, 5, 17]]], ['core/java/android/accounts/AccountManager.java', [[2563, 2565, 3, 10]], [[2552, 2553, 2, 5]]], ['packages/SystemUI/src/com/android/systemui/statusbar/SignalClusterView.java', [[0, 0, 0, 0]], [[311, 314, 4, 7]]]]"
