Merge,Conflicts,Javas,AST
e8174c12c846a42561df0f8b6e9b713f5d1739dd,1,1,"[['packages/SystemUI/src/com/android/systemui/statusbar/SignalClusterView.java', [[564, 571, 8, 24, ['<com.android.systemui.statusbar.SignalClusterView: void apply()>#479#576']]], [[548, 554, 7, 15, ['<com.android.systemui.statusbar.SignalClusterView: void apply()>#451#559']]]]]"
1806b30b6bd01c36b0daee5067ee9a7fcca34b06,1,1,"[['services/core/java/com/android/server/connectivity/Nat464Xlat.java', [[97, 105, 9, 30, ['<com.android.server.connectivity.Nat464Xlat: boolean requiresClat(NetworkAgentInfo)>#93#106']]], [[91, 92, 2, 9, ['<com.android.server.connectivity.Nat464Xlat: boolean requiresClat(NetworkAgentInfo)>#82#93']]]]]"
503de6ae1150ca1ad8db2310afe2f9914af10bde,1,1,"[['services/core/java/com/android/server/connectivity/Tethering.java', [[1228, 1229, 2, 5, ['<com.android.server.connectivity.Tethering.TetherMasterSM: void <init>(String,Looper)>#1208#1232']]], [[1224, 1225, 2, 6, ['<com.android.server.connectivity.Tethering.TetherMasterSM: void <init>(String,Looper)>#1204#1228']]]]]"
536f3c3d169e3b000ecda3f6a8b3fe34d4d43081,1,1,"[['services/core/java/com/android/server/am/ActivityManagerService.java', [[23906, 23921, 16, 27, ['<com.android.server.am.ActivityManagerService.LocalService: SleepToken acquireSleepToken(String)>#23904#23922']], [24358, 24390, 33, 44, ['<com.android.server.am.ActivityManagerService.SleepTokenImpl: String toString()>#24386#24388', '<com.android.server.am.ActivityManagerService.SleepTokenImpl: void <init>(String)>#24362#24365', '<com.android.server.am.ActivityManagerService.SleepTokenImpl: void release()>#24368#24383']]], [[23780, 23780, 1, 4, ['<com.android.server.am.ActivityManagerService.LocalService: SleepToken acquireSleepToken(String,int)>#23778#23781']], [0, 0, 0, 0, []]]]]"
fd92173d2690dc7af718fa58fdea9584cd224257,1,1,"[['services/core/java/com/android/server/Watchdog.java', [[112, 112, 1, 0, []]], [[115, 115, 1, 0, []]]]]"
a858b99a88d045ffcbc8f0af026b8eb1b04f26b0,7,3,"[['services/core/java/com/android/server/pm/PackageManagerService.java', [[2753, 2769, 17, 32, ['<com.android.server.pm.PackageManagerService: void <init>(Context,Installer,boolean,boolean)>#2396#3088']]], [[2746, 2748, 3, 2, ['<com.android.server.pm.PackageManagerService: void <init>(Context,Installer,boolean,boolean)>#2393#3088']]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelView.java', [[208, 209, 2, 2, ['<com.android.systemui.statusbar.phone.PanelView: void <init>(Context,AttributeSet)>#195#210']]], [[205, 205, 1, 4, ['<com.android.systemui.statusbar.phone.PanelView: void <init>(Context,AttributeSet)>#192#206']]]], ['services/core/java/com/android/server/am/ActivityStackSupervisor.java', [[171, 173, 3, 0, []]], [[0, 0, 0, 0, []]]]]"
9c7fa13459a4bf9b21cf2b51663aa035e0668214,29,22,"[['packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', [[263, 266, 4, 9, ['<com.android.systemui.statusbar.policy.MobileSignalController: int getCurrentIconId()>#259#278']]], [[249, 253, 5, 11, ['<com.android.systemui.statusbar.policy.MobileSignalController: int getCurrentIconId()>#245#260']]]], ['telecomm/java/android/telecom/PhoneAccount.java', [[75, 82, 8, 0, []]], [[84, 138, 55, 0, []]]], ['telephony/java/android/telephony/DisconnectCause.java', [[462, 559, 98, 98, ['<android.telephony.DisconnectCause: String toString(int)>#342#563']]], [[393, 394, 2, 2, ['<android.telephony.DisconnectCause: String toString(int)>#273#398']]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardSimPukView.java', [[121, 123, 3, 3, ['<com.android.keyguard.KeyguardSimPukView.StateMachine: void reset()>#117#126']]], [[121, 143, 23, 83, ['<com.android.keyguard.KeyguardSimPukView.StateMachine: void reset()>#117#148']]]], ['services/core/java/com/android/server/AppOpsService.java', [[85, 85, 1, 0, []]], [[70, 85, 16, 0, []]]], ['media/java/android/media/AudioFormat.java', [[270, 293, 24, 0, []]], [[270, 305, 36, 37, ['<android.media.AudioFormat: String toLogFriendlyEncoding(int)>#271#304']]]], ['services/core/java/com/android/server/am/ActivityStackSupervisor.java', [[0, 0, 0, 0, []]], [[43, 43, 1, 0, []]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java', [[134, 134, 1, 0, []], [1698, 1726, 29, 83, ['<com.android.keyguard.KeyguardUpdateMonitor: boolean isOOS()>#1698#1726']]], [[134, 134, 1, 0, []], [1707, 1722, 16, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java', [[971, 972, 2, 0, []], [985, 987, 3, 14, ['<com.android.systemui.statusbar.policy.NetworkControllerImpl.Config: Config readConfig(Context)>#974#989']]], [[961, 961, 1, 0, []], [974, 974, 1, 7, ['<com.android.systemui.statusbar.policy.NetworkControllerImpl.Config: Config readConfig(Context)>#963#976']]]], ['telephony/java/android/telephony/CarrierConfigManager.java', [[1537, 1537, 1, 0, []]], [[1603, 1605, 3, 0, []]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardSimPinView.java', [[87, 91, 5, 18, ['<com.android.keyguard.KeyguardSimPinView: void handleSubInfoChangeIfNeeded()>#85#93']]], [[81, 102, 22, 78, ['<com.android.keyguard.KeyguardSimPinView: void resetState()>#77#106']]]], ['services/java/com/android/server/SystemServer.java', [[58, 59, 2, 0, []]], [[0, 0, 0, 0, []]]], ['services/core/java/com/android/server/am/ActivityManagerService.java', [[614, 616, 3, 0, []]], [[608, 608, 1, 0, []]]], ['telephony/java/android/telephony/ims/ImsServiceProxy.java', [[0, 0, 0, 0, []]], [[132, 133, 2, 1, ['<android.telephony.ims.ImsServiceProxy: void endSession(int)>#130#137']]]], ['telephony/java/com/android/internal/telephony/RILConstants.java', [[420, 420, 1, 0, []]], [[417, 419, 3, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/SignalDrawable.java', [[88, 89, 2, 0, []], [0, 0, 0, 0, []], [262, 267, 6, 30, ['<com.android.systemui.statusbar.phone.SignalDrawable: void draw(Canvas)>#210#298']]], [[87, 108, 22, 0, []], [313, 320, 8, 18, ['<com.android.systemui.statusbar.phone.SignalDrawable: void draw(Canvas)>#232#361']], [327, 330, 4, 32, ['<com.android.systemui.statusbar.phone.SignalDrawable: void draw(Canvas)>#232#361']]]], ['telephony/java/com/android/internal/telephony/gsm/SmsCbConstants.java', [[33, 52, 20, 0, []]], [[0, 0, 0, 0, []]]], ['telephony/java/android/telephony/SmsMessage.java', [[494, 512, 19, 16, ['<android.telephony.SmsMessage: SubmitPdu getSubmitPdu(String,String,String,boolean,int)>#509#522']], [836, 846, 11, 14, ['<android.telephony.SmsMessage: boolean isCdmaVoice(int)>#844#847']]], [[469, 486, 18, 16, ['<android.telephony.SmsMessage: SubmitPdu getSubmitPdu(String,String,String,boolean,int)>#484#496']], [0, 0, 0, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/KeyguardBottomAreaView.java', [[233, 233, 1, 5, ['<com.android.systemui.statusbar.phone.KeyguardBottomAreaView: void onFinishInflate()>#229#261']]], [[233, 233, 1, 5, ['<com.android.systemui.statusbar.phone.KeyguardBottomAreaView: void onFinishInflate()>#229#261']]]], ['packages/SettingsProvider/src/com/android/providers/settings/DatabaseHelper.java', [[2646, 2647, 2, 2, ['<com.android.providers.settings.DatabaseHelper: void loadGlobalSettings(SQLiteDatabase)>#2479#2676']]], [[2620, 2620, 1, 0, []]]], ['services/core/java/com/android/server/location/GnssLocationProvider.java', [[0, 0, 0, 0, []]], [[791, 791, 1, 2, ['<com.android.server.location.GnssLocationProvider: void <init>(Context,ILocationManager,Looper)>#688#804']]]], ['services/core/java/com/android/server/wm/AppWindowContainerController.java', [[650, 650, 1, 3, ['<com.android.server.wm.AppWindowContainerController: void removeStartingWindow()>#650#674']]], [[650, 666, 17, 16, ['<com.android.server.wm.AppWindowContainerController: void removeHiddenStartingWindow()>#655#664', '<com.android.server.wm.AppWindowContainerController: void removeStartingWindow()>#666#690']]]]]"
467f41853b8179ce28f9b2c0e7218ae17c58e209,1,1,"[['packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', [[282, 291, 10, 23, ['<com.android.systemui.statusbar.policy.MobileSignalController: int getQsCurrentIconId()>#281#292']]], [[257, 261, 5, 6, ['<com.android.systemui.statusbar.policy.MobileSignalController: int getQsCurrentIconId()>#256#262']]]]]"
c2930056ad95928cc2abd5d613abaff446ccc460,3,1,"[['packages/SystemUI/src/com/android/systemui/statusbar/SignalClusterView.java', [[126, 127, 2, 0, []], [309, 311, 3, 23, ['<com.android.systemui.statusbar.SignalClusterView: void setMobileDataIndicators(IconState,IconState,int,int,boolean,boolean,int,int,int,String,String,boolean,int,boolean)>#309#331']], [317, 320, 4, 16, ['<com.android.systemui.statusbar.SignalClusterView: void setMobileDataIndicators(IconState,IconState,int,int,boolean,boolean,int,int,int,String,String,boolean,int,boolean)>#309#331']]], [[0, 0, 0, 0, []], [302, 303, 2, 17, ['<com.android.systemui.statusbar.SignalClusterView: void setMobileDataIndicators(IconState,IconState,int,int,boolean,boolean,String,String,boolean,int,boolean)>#302#320']], [309, 312, 4, 16, ['<com.android.systemui.statusbar.SignalClusterView: void setMobileDataIndicators(IconState,IconState,int,int,boolean,boolean,String,String,boolean,int,boolean)>#302#320']]]]]"
0457434c537b654076b056857db84571e2260047,4,3,"[['packages/SystemUI/src/com/android/systemui/statusbar/SignalClusterView.java', [[0, 0, 0, 0, []]], [[311, 314, 4, 7, ['<com.android.systemui.statusbar.SignalClusterView: void setMobileDataIndicators(IconState,IconState,int,int,boolean,boolean,String,String,boolean,int,boolean)>#304#326']]]], ['services/core/java/com/android/server/pm/PackageManagerService.java', [[15761, 15767, 7, 21, ['<com.android.server.pm.PackageManagerService.InstallParams: void handleStartCopy()>#15628#15906']]], [[15818, 15822, 5, 17, ['<com.android.server.pm.PackageManagerService.InstallParams: void handleStartCopy()>#15685#15952']]]], ['core/java/android/accounts/AccountManager.java', [[2563, 2565, 3, 10, ['<android.accounts.AccountManager.GetAuthTokenByTypeAndFeaturesTask: void doWork()>#2562#2663']]], [[2552, 2553, 2, 5, ['<android.accounts.AccountManager.GetAuthTokenByTypeAndFeaturesTask: void doWork()>#2551#2606']]]]]"
