Merge,Conflicts,Javas,AST
89cad5d93a5083474840e90d08d6e4aec5833932,5,4,"[['packages/SystemUI/src/com/android/systemui/doze/DozeService.java', [[63, 66, 4, 9]], [[64, 64, 1, 3]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardSimPukView.java', [[80, 80, 1, 0]], [[76, 77, 2, 0]]], ['services/core/java/com/android/server/BluetoothManagerService.java', [[16, 16, 1, 0]], [[1283, 1287, 5, 11]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardSimPinView.java', [[71, 81, 11, 0]], [[0, 0, 0, 0]]]]"
6e3be19b8a58c265a2c3ff4b9cbabdb6a4ae9bf6,9,9,"[['services/core/java/com/android/server/am/ActivityRecord.java', [[2018, 2118, 101, 282]], [[1986, 1991, 6, 16]]], ['services/core/java/com/android/server/am/ActivityManagerService.java', [[6000, 6011, 12, 19]], [[16, 16, 1, 0]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java', [[151, 151, 1, 0]], [[150, 150, 1, 0]]], ['services/core/java/com/android/server/wm/WindowStateAnimator.java', [[1188, 1196, 9, 17]], [[1188, 1198, 11, 20]]], ['core/java/android/provider/Settings.java', [[8191, 8191, 1, 0]], [[8178, 8179, 2, 0]]], ['packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java', [[165, 176, 12, 30]], [[0, 0, 0, 0]]], ['packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java', [[1229, 1232, 4, 16]], [[1197, 1197, 1, 5]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/HotspotControllerImpl.java', [[190, 204, 15, 30]], [[146, 146, 1, 1]]], ['telephony/java/android/telephony/CarrierConfigManager.java', [[2108, 2108, 1, 0]], [[2119, 2121, 3, 0]]]]"
587cb520382d349c91bd59ada23fbefcdb44314f,4,3,"[['packages/SystemUI/src/com/android/systemui/qs/QSPanel.java', [[288, 291, 4, 7]], [[288, 290, 3, 2]]], ['services/core/java/com/android/server/am/ActivityManagerService.java', [[5998, 5998, 1, 1]], [[5934, 5934, 1, 1]]], ['telephony/java/android/telephony/CarrierConfigManager.java', [[2046, 2046, 1, 0]], [[2079, 2082, 4, 0]]]]"
cd70ac0d6e3051aa7853827186e0e36ee97a1f7f,1,1,"[['services/core/java/com/android/server/am/ActivityRecord.java', [[793, 813, 21, 57]], [[781, 785, 5, 7]]]]"
73b0c4c50deb009c3b82699935657bca00f8c3a7,1,0,[]
6ac29fa64d74f59bb489e1c3df7ceedb7fefeeb3,1,0,[]
645ae5df5346c679626d708a62c0a24d6b294f1a,2,1,"[['core/java/android/view/Choreographer.java', [[276, 282, 7, 12]], [[273, 277, 5, 5]]]]"
b0fb644c3eaa60930300e3689e6652de7c21d4f7,2,2,"[['services/core/java/com/android/server/audio/AudioService.java', [[3679, 3709, 31, 75]], [[3737, 3744, 8, 20]]], ['services/core/java/com/android/server/am/ActivityRecord.java', [[2059, 2063, 5, 12]], [[1996, 1996, 1, 3]]]]"
59a28bc92ad55fd0c19ce28047f205978aed52ca,2,1,"[['services/core/java/com/android/server/am/ActivityManagerService.java', [[3512, 3513, 2, 16], [25070, 25072, 3, 9]], [[3478, 3485, 8, 29], [24948, 24955, 8, 18]]]]"
8fe131fbebf683623c5d0df4a70e99bc7a5441a5,1,0,[]
a9808279aa66eb64ea573100d13cf753bf293a4c,1,1,"[['packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java', [[164, 171, 8, 21]], [[162, 168, 7, 21]]]]"
89c238d52cffb688583d7d716f8721bc8935ea91,1,1,"[['telephony/java/android/telephony/CarrierConfigManager.java', [[2104, 2105, 2, 0]], [[2087, 2087, 1, 0]]]]"
7a944b0e9be2d6f9ae3b7d0f02328607eb3907d7,3,0,[]
1452baeffa18c2760dac56bee26c20fa12a499a3,3,3,"[['services/core/java/com/android/server/ConnectivityService.java', [[5941, 5999, 59, 110]], [[0, 0, 0, 0]]], ['services/core/java/com/android/server/connectivity/tethering/TetheringConfiguration.java', [[28, 29, 2, 0], [91, 101, 11, 38]], [[0, 0, 0, 0], [103, 104, 2, 8]]], ['services/core/java/com/android/server/om/OverlayManagerSettings.java', [[183, 183, 1, 0], [183, 183, 1, 0]], [[185, 185, 1, 8], [185, 185, 1, 8]]]]"
8230fd25f1574aae5dc439f81b97342e9968e199,3,3,"[['services/core/java/com/android/server/connectivity/Tethering.java', [[212, 215, 4, 13], [300, 301, 2, 8], [323, 327, 5, 13], [1274, 1275, 2, 5], [1380, 1387, 8, 28], [2014, 2014, 1, 3]], [[234, 234, 1, 5], [313, 313, 1, 3], [335, 335, 1, 1], [1277, 1277, 1, 5], [1382, 1383, 2, 8], [2006, 2006, 1, 3]]], ['services/core/java/com/android/server/connectivity/tethering/IPv6TetheringCoordinator.java', [[223, 287, 65, 120]], [[0, 0, 0, 0]]], ['services/core/java/com/android/server/connectivity/tethering/TetherInterfaceStateMachine.java', [[719, 729, 11, 24]], [[686, 687, 2, 8]]]]"
2e25c298c5c5a069e5525397e99952d4d7f01b8b,1,1,"[['services/core/java/com/android/server/audio/AudioService.java', [[1422, 1425, 4, 14]], [[1426, 1426, 1, 0]]]]"
4f3815fffae8119b8607fe1e7ec8f00b095962ea,1,1,"[['services/core/java/com/android/server/am/ActivityManagerService.java', [[395, 396, 2, 0]], [[0, 0, 0, 0]]]]"
4646ace2d5aecc79f895d6273c928602852d7f12,8,5,"[['packages/SystemUI/src/com/android/systemui/statusbar/phone/KeyguardBottomAreaView.java', [[921, 924, 4, 7]], [[917, 926, 10, 26]]], ['telephony/java/com/android/internal/telephony/RILConstants.java', [[166, 170, 5, 0]], [[166, 167, 2, 0]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelView.java', [[54, 55, 2, 0]], [[0, 0, 0, 0]]], ['packages/SettingsProvider/src/com/android/providers/settings/DatabaseHelper.java', [[2604, 2605, 2, 5]], [[2604, 2605, 2, 5]]], ['packages/SystemUI/src/com/android/systemui/statusbar/SignalClusterView.java', [[672, 681, 10, 51], [687, 693, 7, 15], [737, 737, 1, 8]], [[634, 635, 2, 7], [641, 641, 1, 4], [666, 667, 2, 14]]]]"
595572aed3270fda20949d9c19381969d40ecfd4,6,4,"[['services/core/java/com/android/server/am/ActivityStack.java', [[1459, 1464, 6, 12]], [[0, 0, 0, 0]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/TelephonyIcons.java', [[83, 85, 3, 0], [98, 100, 3, 0], [111, 112, 2, 0], [111, 112, 2, 0], [137, 139, 3, 0], [152, 154, 3, 0], [167, 169, 3, 0], [182, 184, 3, 0], [197, 199, 3, 0], [212, 214, 3, 0], [227, 229, 3, 0], [242, 244, 3, 0], [255, 661, 407, 930]], [[49, 49, 1, 0], [62, 62, 1, 0], [73, 73, 1, 0], [73, 73, 1, 0], [49, 49, 1, 0], [62, 62, 1, 0], [49, 49, 1, 0], [49, 49, 1, 0], [62, 62, 1, 0], [62, 62, 1, 0], [62, 62, 1, 0], [62, 62, 1, 0], [199, 201, 3, 0]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelView.java', [[53, 53, 1, 0], [230, 240, 11, 33]], [[53, 53, 1, 0], [0, 0, 0, 0]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', [[271, 276, 6, 11], [836, 847, 12, 63], [853, 857, 5, 10]], [[254, 258, 5, 22], [582, 582, 1, 8], [588, 588, 1, 2]]]]"
30e547372fc6724d52056a45acd2ded265e32b2f,1,0,[]
4e4914b22b779e6376bb00ae20636175b2a70d8c,8,5,"[['telecomm/java/android/telecom/ConnectionService.java', [[184, 185, 2, 0]], [[185, 185, 1, 0]]], ['telecomm/java/android/telecom/Call.java', [[355, 359, 5, 0], [537, 538, 2, 6]], [[355, 356, 2, 0], [540, 541, 2, 6]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java', [[144, 144, 1, 0], [334, 335, 2, 0], [802, 803, 2, 0]], [[144, 144, 1, 0], [336, 337, 2, 0], [804, 806, 3, 0]]], ['telecomm/java/android/telecom/Connection.java', [[331, 337, 7, 0]], [[333, 334, 2, 0]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelView.java', [[53, 54, 2, 0]], [[53, 53, 1, 0]]]]"
