branch,total,conflict
staging,5,2
lineage-16.0,30,11
cm-14.1,8,4
next,2,1
gingerbread,10,6
froyo,5,2
qcril,0,0
cm-14.0,2,1
cm-10.1,2,2
jellybean-stable,4,2
previewgen2,5,5
donut,4,1
cm-12.1,8,3
cm-12.0,3,2
gingerbread-release,0,0
cm-10.2,4,2
cm-14.1-cafrebase,0,0
lineage-15.1,25,4
cm-9.1.0,2,2
lineage-17.1,11,6
lineage-17.0,2,1
froyo-stable,0,0
gb-release-7.2,0,0
cm-13.0,15,6
eclair,5,3
ics,0,0
cm-11.0,2,1
caf,1,1
bt-next,0,0
cm-14.1_old,0,0
jellybean,0,0
ics-release,0,0
lineage-18.1,1,0
shipping,0,0
lineage-18.0,2,0
stable,0,0
cm-14.1_prerebase,5,2
