Merge,Conflicts,Javas,Merge_Type
cd70ac0d6e3051aa7853827186e0e36ee97a1f7f,1,1,"ClsDecl:1,Method:7"
73b0c4c50deb009c3b82699935657bca00f8c3a7,1,0,
6ac29fa64d74f59bb489e1c3df7ceedb7fefeeb3,1,0,
645ae5df5346c679626d708a62c0a24d6b294f1a,2,1,"Field:2,MethodComment:1,Method:1"
b0fb644c3eaa60930300e3689e6652de7c21d4f7,2,2,Method:11
59a28bc92ad55fd0c19ce28047f205978aed52ca,2,1,"Field:1,Method:19"
8fe131fbebf683623c5d0df4a70e99bc7a5441a5,1,0,
a9808279aa66eb64ea573100d13cf753bf293a4c,1,1,"Constructor:1,Method:2"
89c238d52cffb688583d7d716f8721bc8935ea91,1,1,
7a944b0e9be2d6f9ae3b7d0f02328607eb3907d7,3,0,
1452baeffa18c2760dac56bee26c20fa12a499a3,3,3,"Method:25,Constructor:2"
8230fd25f1574aae5dc439f81b97342e9968e199,3,3,"Import:1,Constructor:9,FieldComment:1,Method:73,Field:1"
2e25c298c5c5a069e5525397e99952d4d7f01b8b,1,1,Method:3
4f3815fffae8119b8607fe1e7ec8f00b095962ea,1,1,"Import:1,Method:5"
4646ace2d5aecc79f895d6273c928602852d7f12,8,5,"Field:3,Method:12,Constructor:1"
595572aed3270fda20949d9c19381969d40ecfd4,6,4,"Method:24,Field:25,Import:1,Constructor:4"
30e547372fc6724d52056a45acd2ded265e32b2f,1,0,
4e4914b22b779e6376bb00ae20636175b2a70d8c,8,5,"FieldComment:3,Method:6,Constructor:2,MethodComment:4,Field:4,Import:1"
0d68733d6363c270aed49b9be40c2b8ca41c3c52,1,1,"Field:8,Import:1,ClsDecl:2,Constructor:14,MethodComment:2,Method:104"
af01b38e0a0664bc87b649248b0c13fbe0925193,5,1,"Field:2,ClsDecl:1,Constructor:4,MethodComment:2,Method:19"
