Merge,Conflicts,Javas,Merge_Type
1a06b5ab8af3c54728101c4dff83c8b5a6113ba9,1,1,Method:5
6cd401a9f8725b2f40aba5680590169efefbe6c1,1,0,
d9fdf7757f00d54aed67f4370e4479adf48e11af,1,1,
6445e9361550e1306d29713dd600481e125f88a8,1,1,Method:1
188a21cc8ac704f36fd3f2984b4da86307ab7949,1,1,Method:8
3454c1e1aa1d155fe2246ce2627cf58e934397e9,2,2,"Field:1,Method:5"
a97ca47ee3713a075711c311c49e3951264007ef,1,1,Method:5
9caf34febf01086c96266e38d024f7a0315b892d,7,6,"Method:46,Field:6,MethodComment:13,FieldComment:2"
89cad5d93a5083474840e90d08d6e4aec5833932,5,4,"Method:28,Field:1"
1eef3e1566be8570a0f7a856f12f8992f7d34824,5,4,"Method:71,Field:6,ConstructComment:1,Constructor:1"
f9f9f03acdeb05e6978feca02f6ef20ff57d06bc,1,1,"Constructor:2,Method:6"
4a30c150e58ec67edb92a7bec5ea48cebd6b90d4,12,10,"Constructor:2,Field:9,FieldComment:2,Method:41,Import:1"
b576b28ececdf87e488eaf196c28e48371784746,4,3,"Method:34,Import:1,Constructor:2,MethodComment:2"
2b252c526c654de6d04ec0165b4b8f039b37f82b,2,2,"FieldComment:1,Method:15,Field:2,Constructor:1"
6e44ad255823e1b7f2b23386d61af655c19adb49,18,13,"Constructor:3,Method:91,MethodComment:2,Import:1,Field:8,FieldComment:2"
2775a5a9b030266a910301e8b464811acafcd5fa,18,14,"Field:8,Import:3,Method:156,MethodComment:3,Constructor:8,FieldComment:4,ConstructComment:1"
e449737f6ea4d11d082f1cdec4d067f64d5ba95e,3,3,"Method:29,Field:5,Constructor:2"
3a5272699e3e16fbfdc397480898bb27abeb2caa,5,4,"Enum:1,Import:1,MethodComment:3,Method:76,Field:1"
6e3be19b8a58c265a2c3ff4b9cbabdb6a4ae9bf6,9,9,"Method:33,Field:4,MethodComment:1"
cf03be865b65f49562f1e442ee0e7510ee597aa8,5,5,"Method:55,Constructor:12,Import:1,Field:3,MethodComment:2"
81b587a542e8381268a9ba8e7461712ef23cd11f,9,8,"Field:6,Constructor:5,Method:67,MethodComment:1,Import:2,FieldComment:3,ClsInterfaceComment:1"
567b4cf7b54062947b5eabe6ecef7b70fbb7301b,15,11,"Field:32,Method:244,ConstructComment:2,Constructor:10,FieldComment:23,MethodComment:14,ClsInterfaceComment:3,Import:2,ClsDecl:1,EnumComment:1"
88b45c586d461df38b866d529bc98d1dfa3e8838,21,14,"MethodComment:22,Method:333,Field:22,FieldComment:15,Constructor:21,ClsDecl:2,Import:3,ClsInterfaceComment:2"
657230bb5e95ec8560c534360cac5a25fd743129,21,16,"Method:160,Field:28,FieldComment:7,Import:2,Constructor:10,MethodComment:9"
587cb520382d349c91bd59ada23fbefcdb44314f,4,3,"Method:6,FieldComment:1"
8d21ad0d966c1e9f96e5a65144efad2582391957,11,11,"Field:15,Method:585,Constructor:10,MethodComment:8,Import:3,FieldComment:5"
b76115be4efabffaa6febc57cec47acc2f933c79,34,27,"Field:51,FieldComment:39,Method:529,Constructor:17,ClsInterfaceComment:2,MethodComment:17,Import:6,ClsDecl:1"
ba167de93776a7e5d1b347d1ee646e161cf24ce5,7,5,"Field:14,Method:319,Import:4,Constructor:2,MethodComment:2"
db8a16a19bc4c35bc8ba2ff9a3fd4341177e1e26,3,3,"Field:1,Method:27"
ddcaa93e851eb5e57692799446f2ef3fe31436ae,13,10,"Method:156,Import:3,ClsDecl:1,FieldComment:3,MethodComment:2,Field:7,Constructor:6,ClsInterfaceComment:1"
2edeff882ab756e76b3a028a1568d8774ddc0257,20,17,"Field:13,Import:7,Method:254,MethodComment:5,Constructor:8,FieldComment:7,ClsDecl:3,ClsInterfaceComment:1"
1730c08a2fd38f0ff8135692a855ada865130939,20,18,"Field:15,Method:13,Constructor:1"
1581c348fc5d6cbf1673b3dbc5960637f891d488,25,19,"Field:36,Constructor:11,Method:855,FieldComment:11,Import:8,ClsDecl:1,MethodComment:38,ClsInterfaceComment:1,Enum:1"
cd70ac0d6e3051aa7853827186e0e36ee97a1f7f,1,1,"ClsDecl:1,Method:7"
73b0c4c50deb009c3b82699935657bca00f8c3a7,1,0,
6ac29fa64d74f59bb489e1c3df7ceedb7fefeeb3,1,0,
645ae5df5346c679626d708a62c0a24d6b294f1a,2,1,"Field:2,MethodComment:1,Method:1"
b0fb644c3eaa60930300e3689e6652de7c21d4f7,2,2,Method:11
59a28bc92ad55fd0c19ce28047f205978aed52ca,2,1,"Field:1,Method:19"
8fe131fbebf683623c5d0df4a70e99bc7a5441a5,1,0,
a9808279aa66eb64ea573100d13cf753bf293a4c,1,1,"Constructor:1,Method:2"
89c238d52cffb688583d7d716f8721bc8935ea91,1,1,
7a944b0e9be2d6f9ae3b7d0f02328607eb3907d7,3,0,
1452baeffa18c2760dac56bee26c20fa12a499a3,3,3,"Method:25,Constructor:2"
8230fd25f1574aae5dc439f81b97342e9968e199,3,3,"Import:1,Constructor:9,FieldComment:1,Method:73,Field:1"
2e25c298c5c5a069e5525397e99952d4d7f01b8b,1,1,Method:3
4f3815fffae8119b8607fe1e7ec8f00b095962ea,1,1,"Import:1,Method:5"
4646ace2d5aecc79f895d6273c928602852d7f12,8,5,"Field:3,Method:12,Constructor:1"
595572aed3270fda20949d9c19381969d40ecfd4,6,4,"Method:24,Field:25,Import:1,Constructor:4"
30e547372fc6724d52056a45acd2ded265e32b2f,1,0,
4e4914b22b779e6376bb00ae20636175b2a70d8c,8,5,"FieldComment:3,Method:6,Constructor:2,MethodComment:4,Field:4,Import:1"
0d68733d6363c270aed49b9be40c2b8ca41c3c52,1,1,"Field:8,Import:1,ClsDecl:2,Constructor:14,MethodComment:2,Method:104"
af01b38e0a0664bc87b649248b0c13fbe0925193,5,1,"Field:2,ClsDecl:1,Constructor:4,MethodComment:2,Method:19"
