branch,total,conflict
staging,5,2
lineage-16.0,30,11
cm-14.1,8,4
next,2,1
gingerbread,10,6
froyo,5,2
qcril,2,1
cm-14.0,2,1
cm-10.1,2,2
jellybean-stable,7,4
previewgen2,5,5
donut,4,1
cm-12.1,13,8
cm-12.0,3,2
gingerbread-release,10,6
cm-10.2,6,4
cm-14.1-cafrebase,1,1
lineage-15.1,25,4
cm-9.1.0,5,4
lineage-17.1,11,6
lineage-17.0,2,1
froyo-stable,5,2
gb-release-7.2,10,6
cm-13.0,15,6
eclair,5,3
ics,5,4
cm-11.0,4,2
caf,1,1
bt-next,4,3
cm-14.1_old,3,3
jellybean,7,4
ics-release,5,4
lineage-18.1,1,0
shipping,4,2
lineage-18.0,2,0
stable,6,4
cm-14.1_prerebase,7,3
